age,monthly_revenue,debt_ratio,rated_exposure,serious_delinquencies_in_past_2_years,composite_overdue
0.87,0.5629,-0.3333,-0.7212,0,0
0.46,-0.2005,3.8834,-0.7212,0,0
-0.7017,0.1822,-0.333,-0.7212,0,0
-0.565,1.1605,-0.3335,1.1777,0,0
-0.155,-1.4167,-0.3332,-0.7212,1,0
0.255,0.761,-0.3332,-0.7212,0,0
-1.7951,-0.9574,-0.333,-0.7212,0,0
-1.3851,-0.4787,-0.3335,-0.7212,1,0
-0.975,0.3098,-0.3333,-0.7212,1,60
0.255,-0.5618,-0.3331,-0.7212,0,0
0.1183,-0.6256,-0.3332,-0.7212,1,630
0.3917,2.564,-0.3332,-0.7212,0,0
-0.8384,0.8074,-0.3325,0.2283,1,300
0.665,-0.0132,-0.3329,0.2283,0,0
1.8267,-0.2005,0.6341,-0.7212,0,0
0.46,-0.2005,1.1135,1.1777,0,0
-1.4534,-0.7777,-0.3331,-0.7212,0,0
-1.6584,-0.2005,-0.3226,0.0285,0,0
0.5967,0.8048,-0.3331,0.2283,0,0
-1.7267,0.1399,-0.3335,-0.7212,0,60
0.3233,-0.2429,-0.333,-0.7212,0,0
0.3917,2.4619,-0.3333,-0.7212,0,0
-1.3851,-0.1153,-0.333,0.2283,0,0
0.7334,0.6699,-0.3331,1.1777,0,0
-0.0867,0.5323,-0.3329,1.1777,0,0
-0.6334,-0.2005,1.0786,-0.7212,1,90
2.0317,-0.0135,-0.3335,-0.7212,0,0
1.9634,-1.1105,-0.3335,-0.7212,0,0
1.4851,5.9151,-0.3334,-0.7212,0,0
0.5284,-0.2005,3.21,-0.7212,1,240
-0.7017,-0.2005,1.2148,-0.7212,0,30
-1.4534,-0.2005,1.3151,-0.7212,0,0
-0.2233,0.678,-0.3331,3.0766,1,0
0.255,-0.2005,0.5436,-0.7212,0,0
-1.5217,0.7778,-0.3333,-0.7212,0,0
1.2117,-0.2005,5.2116,-0.7212,0,30
-0.8384,1.773,-0.3331,1.1777,1,30
-0.2917,-0.2005,1.9307,-0.7212,1,150
-0.0867,-0.447,-0.3331,2.1271,0,0
-1.7951,-1.124,-0.3335,0.2283,0,0
-0.6334,-1.2636,-0.3307,0.2283,1,0
-0.975,2.1812,-0.3332,-0.7212,0,0
1.3484,-0.2005,1.2127,0.0285,0,0
0.7334,-0.8211,-0.3331,-0.7212,1,0
0.5284,-0.877,-0.3313,-0.7212,0,0
0.46,-0.8808,-0.3334,-0.7212,1,120
0.665,0.2891,-0.3335,0.2283,0,0
-0.565,-0.7532,-0.332,-0.7212,1,0
0.87,-0.2911,-0.3331,-0.7212,0,60
-0.2917,-0.2429,-0.333,1.1777,1,300
0.46,0.5012,-0.3333,0.2283,1,120
1.8267,-0.9071,-0.3335,-0.7212,0,0
-0.0183,7.6674,-0.3335,-0.7212,1,60
1.0067,-0.299,-0.3331,-0.7212,1,60
-1.3851,-0.7716,-0.3334,-0.7212,0,0
1.8267,-0.9523,-0.3335,-0.7212,0,0
0.3233,-0.2005,-0.1962,-0.7212,0,90
2.1684,-0.4343,-0.3334,-0.7212,0,0
-0.7017,0.9054,-0.3334,1.1777,1,60
0.05,0.5481,-0.3335,-0.7212,0,0
0.3917,-1.0594,-0.3326,-0.7212,0,0
-1.7951,-0.716,-0.3333,1.1777,0,0
-0.2233,-0.2005,3.0247,-0.7212,1,450
0.1183,1.8026,-0.3331,3.0766,1,30
1.075,-0.447,-0.332,-0.7212,1,510
-0.8384,1.2488,-0.333,0.2283,0,0
0.3233,-0.2005,1.9896,-0.7212,1,0
-0.4284,-0.0081,-0.3331,3.0766,0,0
-0.8384,-0.3493,-0.3329,-0.7212,0,0
1.1434,1.2455,-0.3333,-0.7212,0,0
0.5284,1.4394,-0.3332,0.2283,0,0
0.1867,-0.2005,0.7049,-0.7212,0,0
0.8017,0.2419,-0.3334,-0.7212,0,30
-0.8384,-1.0084,-0.3317,-0.7212,0,0
0.5284,-1.3666,-0.3326,-0.7212,0,120
0.1867,-0.2005,1.5864,0.2283,1,60
-0.975,1.5433,-0.3332,1.1777,0,0
-1.5901,-0.2005,-0.2594,0.0285,1,0
-0.77,-0.334,-0.3334,1.1777,0,0
0.1867,-0.7466,-0.3332,0.2283,1,90
-0.7017,-0.7532,-0.3333,0.2283,1,540
0.5967,-0.2005,-0.29,-0.7212,0,0
-1.3851,-0.8553,-0.3334,-0.7212,0,0
-0.0183,-1.1487,-0.3323,0.2283,0,0
0.5967,-0.3577,-0.3331,-0.7212,0,0
-0.0183,3.2869,-0.3332,-0.7212,0,0
1.2117,-1.5187,1.0263,0.2283,0,0
0.46,-0.2005,-0.2747,-0.7212,0,0
1.0067,-0.7086,-0.3333,-0.7212,0,0
0.9384,-0.9005,-0.332,-0.7212,1,90
2.3734,-0.2005,-0.3139,-0.7212,0,0
-0.77,-0.2766,-0.3331,1.1777,1,120
-0.0183,-0.5529,-0.3332,-0.7212,1,150
-1.2484,0.1399,-0.3335,1.1777,0,0
-0.4284,0.2675,-0.3329,0.2283,0,30
-0.4284,0.1822,-0.3328,1.1777,0,30
-1.3167,-0.4896,-0.333,-0.7212,1,30
0.46,-0.396,-0.3325,0.2283,0,0
0.665,-1.0211,-0.3328,-0.7212,0,0
-0.2917,-0.1589,-0.333,2.1271,0,0
2.1001,-0.2005,-0.1429,-0.7212,0,0
1.5534,-0.817,-0.3323,-0.7212,1,30
0.7334,-0.7024,-0.3331,-0.7212,0,0
-0.0183,-1.0951,-0.3311,-0.7212,0,0
-0.975,-0.5177,-0.3329,0.2283,0,0
1.2117,-1.136,-0.3324,-0.7212,0,0
-1.1117,-0.8384,-0.3332,1.1777,1,0
-1.1801,-0.8178,-0.3335,3.0766,0,90
-0.4967,1.9261,-0.3331,1.1777,1,270
-1.0434,1.0968,-0.3331,1.1777,0,30
0.46,-0.2393,-0.3327,-0.7212,1,0
-0.4967,-0.2005,2.4897,-0.7212,1,60
0.05,-0.2429,-0.3335,2.1271,0,0
1.8951,-0.7341,-0.3335,-0.7212,0,0
1.3484,-0.0252,-0.3334,-0.7212,0,0
-0.2917,0.0761,-0.3327,-0.7212,0,0
-0.8384,-0.6256,-0.3327,2.1271,0,0
-0.77,-0.1918,-0.333,0.2283,0,90
0.5967,-0.2005,0.2342,0.0285,1,60
-0.4284,1.033,-0.3334,0.2283,0,0
1.28,-1.1347,-0.3335,-0.7212,0,0
0.1867,-1.1105,-0.333,0.2283,1,0
-0.155,-0.0005,-0.333,1.1777,0,0
-0.2233,-0.4919,-0.3332,0.2283,0,30
-0.2917,0.3524,-0.333,-0.7212,1,390
-1.7951,-1.1454,-0.3334,0.2283,1,0
-0.9067,0.4287,-0.3331,1.1777,0,30
0.1183,-0.2005,2.749,-0.7212,1,0
-1.0434,0.8543,-0.3335,3.0766,0,0
0.7334,0.0378,-0.3331,-0.7212,0,240
-1.5901,-0.7724,-0.3335,-0.7212,1,0
-0.4967,-0.4981,-0.3329,-0.7212,0,90
0.8017,-0.2005,-0.1341,-0.7212,0,0
-1.0434,-0.6461,-0.333,1.1777,0,330
0.1183,2.0536,-0.3333,0.2283,0,0
-0.6334,-0.2005,5.2803,-0.7212,1,0
-0.155,-0.0515,-0.3331,-0.7212,0,30
0.8017,0.0761,-0.3333,0.2283,0,60
1.0067,-0.2855,-0.3334,-0.7212,0,0
0.5967,-0.2005,1.9569,-0.7212,0,0
0.1867,0.4374,-0.3329,-0.7212,0,60
-0.565,0.2593,-0.3333,-0.7212,0,0
-1.2484,-0.2227,-0.3332,-0.7212,1,90
-0.36,-0.6683,-0.3333,-0.7212,0,0
-1.3851,-1.1105,-0.3335,-0.7212,1,180
0.87,-0.2005,7.659,-0.7212,0,0
2.2368,-0.3493,-0.3332,-0.7212,0,0
-0.565,-0.396,-0.3329,1.1777,1,390
1.1434,-0.2429,-0.3329,-0.7212,0,30
-1.0434,-0.2005,-0.3335,-0.7212,1,180
-1.5901,-0.2005,0.256,-0.7212,1,150
-1.5217,-0.8247,-0.3333,1.1777,1,60
0.87,-0.2005,1.5352,-0.7212,0,0
-1.6584,-0.7022,-0.3334,-0.7212,0,0
1.1434,-0.2005,-0.1995,-0.7212,0,0
0.8017,-1.0462,-0.3331,-0.7212,0,0
1.5534,0.305,-0.333,-0.7212,0,0
-0.6334,0.4971,-0.3331,0.2283,0,0
-0.155,0.0761,-0.3333,-0.7212,0,0
-1.8634,-1.0849,-0.3335,-0.7212,1,0
-0.4967,-0.358,-0.3327,0.2283,1,0
-0.155,0.309,-0.3332,2.1271,1,210
-0.2233,0.2672,-0.3334,2.1271,1,210
1.2117,1.2881,-0.3335,0.2283,0,0
-1.3167,1.033,-0.3334,-0.7212,0,0
-0.4967,0.3185,-0.3334,2.1271,0,30
-0.9067,-0.3705,-0.3333,2.1271,0,30
-1.6584,-0.9063,-0.3335,0.2283,1,0
1.0067,-0.2005,0.6591,-0.7212,0,0
1.2117,-1.0339,-0.3335,-0.7212,0,0
1.6217,-0.2005,0.3845,-0.7212,0,0
0.665,-0.4019,-0.3331,-0.7212,0,0
0.255,-0.8655,-0.333,-0.7212,0,30
-0.155,-0.8808,-0.3335,-0.7212,0,30
-1.7951,-1.136,-0.3334,-0.7212,0,0
-1.1801,-0.2005,2.591,-0.7212,1,120
0.1183,-0.4557,-0.3331,-0.7212,0,0
1.7584,1.1391,-0.3335,-0.7212,0,0
1.0067,-0.2005,4.6374,-0.7212,1,0
-1.2484,0.2675,-0.3332,0.2283,0,0
0.5967,1.6709,-0.3333,-0.7212,1,30
-1.1801,0.7492,-0.3335,0.2283,0,0
-0.155,0.2164,-0.333,1.1777,1,90
-0.7017,-1.5185,0.0004,3.0766,0,0
0.255,0.3629,-0.3329,0.2283,0,0
0.665,4.4522,-0.3332,0.2283,0,0
2.1001,-0.7226,-0.3331,-0.7212,0,0
-1.7267,-0.4981,-0.3332,-0.7212,1,420
0.3917,-0.2005,2.0876,-0.7212,1,120
0.1867,0.3312,-0.3333,0.2283,0,0
2.4418,-1.238,-0.333,-0.7212,0,0
-1.6584,-0.3705,-0.3332,0.2283,0,0
0.3233,0.0633,-0.3333,0.2283,0,0
-0.0867,0.7775,-0.3332,1.1777,0,30
-1.0434,-1.0594,-0.3335,0.2283,0,0
-1.3851,2.5129,-0.3334,0.2283,0,30
0.1867,-1.2636,-0.3326,-0.7212,0,0
