crim,zn,indus,nox,rm,age,dis,rad,tax,ptratio,popul,lstat,price
-0.4959,0.4288,-1.2579,-0.0815,0.5975,-0.0738,0.1058,-0.9329,-0.6072,-1.5179,0.4405,-1.1656,24.0
-0.4916,-0.4919,-0.5551,-0.7017,0.3251,0.4142,0.551,-0.8106,-0.9432,-0.3346,0.4405,-0.5173,21.6
-0.4916,-0.4919,-0.5551,-0.7017,1.6762,-0.2199,0.551,-0.8106,-0.9432,-0.3346,0.3593,-1.3137,34.7
-0.4906,-0.4919,-1.2771,-0.8005,1.3455,-0.7649,1.1068,-0.6883,-1.0676,0.0914,0.3952,-1.4836,33.4
-0.4832,-0.4919,-1.2771,-0.8005,1.609,-0.4657,1.1068,-0.6883,-1.0676,0.0914,0.4405,-1.1111,36.2
-0.4911,-0.4919,-1.2771,-0.8005,0.341,-0.3054,1.1068,-0.6883,-1.0676,0.0914,0.385,-1.1298,28.7
-0.4792,0.1475,-0.437,-0.2073,-0.3982,-0.024,0.8522,-0.4438,-0.5139,-1.5652,0.4145,-0.0045,22.9
-0.4678,0.1475,-0.437,-0.2073,-0.1152,1.0269,1.0501,-0.4438,-0.5139,-1.5652,0.4405,1.0428,27.1
-0.4543,0.1475,-0.437,-0.2073,-1.0719,1.1658,1.1169,-0.4438,-0.5139,-1.5652,0.2356,2.7229,16.5
-0.4627,0.1475,-0.437,-0.2073,-0.4123,0.6636,1.3758,-0.4438,-0.5139,-1.5652,0.2372,0.7233,18.9
-0.4515,0.1475,-0.437,-0.2073,0.2473,0.9628,1.2512,-0.4438,-0.5139,-1.5652,0.3531,1.2454,15.0
-0.4733,0.1475,-0.437,-0.2073,-0.4035,0.5567,1.1903,-0.4438,-0.5139,-1.5652,0.4405,0.1264,18.9
-0.4781,0.1475,-0.437,-0.2073,-0.6157,-1.0072,0.7965,-0.4438,-0.5139,-1.5652,0.3128,0.5067,21.7
-0.3694,-0.4919,-0.3972,-0.0815,-0.5096,-0.1949,0.4192,-0.566,-0.5388,1.18,0.4405,-0.6544,20.4
-0.3677,-0.4919,-0.3972,-0.0815,-0.2496,0.6137,0.2946,-0.566,-0.5388,1.18,0.1038,-0.3427,18.2
-0.3699,-0.4919,-0.3972,-0.0815,-0.713,-0.3837,0.3132,-0.566,-0.5388,1.18,0.4149,-0.6217,19.9
-0.2833,-0.4919,-0.3972,-0.0815,-0.5343,-1.3527,0.3132,-0.566,-0.5388,1.18,0.24,-0.9163,23.1
-0.338,-0.4919,-0.3972,-0.0815,-0.4371,0.5139,0.191,-0.566,-0.5388,1.18,0.238,0.3446,17.5
-0.3343,-0.4919,-0.3972,-0.0815,-1.3814,-1.0926,-0.0432,-0.566,-0.5388,1.18,-1.7116,-0.1199,20.2
-0.3499,-0.4919,-0.3972,-0.0815,-0.9022,0.0793,-0.0432,-0.566,-0.5388,1.18,0.3218,-0.1838,18.2
-0.2432,-0.4919,-0.3972,-0.0815,-1.1798,1.0982,-0.0424,-0.566,-0.5388,1.18,0.035,1.3342,13.6
-0.3243,-0.4919,-0.3972,-0.0815,-0.4813,0.7811,0.0664,-0.566,-0.5388,1.18,0.3533,0.2137,19.6
-0.2471,-0.4919,-0.3972,-0.0815,-0.1683,0.8702,0.0484,-0.566,-0.5388,1.18,0.4405,0.9758,15.2
-0.2966,-0.4919,-0.3972,-0.0815,-0.7501,1.1658,0.1084,-0.566,-0.5388,1.18,0.3934,1.1566,14.5
-0.3449,-0.4919,-0.3972,-0.0815,-0.5538,0.9557,0.2629,-0.566,-0.5388,1.18,0.3892,0.5986,15.6
-0.3266,-0.4919,-0.3972,-0.0815,-1.1285,0.6564,0.2909,-0.566,-0.5388,1.18,-1.4238,0.6313,13.9
-0.3608,-0.4919,-0.3972,-0.0815,-0.7501,0.8203,0.4063,-0.566,-0.5388,1.18,0.0412,0.3664,16.6
-0.3032,-0.4919,-0.3972,-0.0815,-0.3363,0.7669,0.2903,-0.566,-0.5388,1.18,-1.3648,0.7513,14.8
-0.3403,-0.4919,-0.3972,-0.0815,0.456,0.9664,0.2909,-0.566,-0.5388,1.18,0.2618,0.0531,18.4
-0.2937,-0.4919,-0.3972,-0.0815,0.7725,0.7134,0.1814,-0.566,-0.5388,1.18,0.108,-0.0747,21.0
-0.2677,-0.4919,-0.3972,-0.0815,-0.9269,0.9557,0.1784,-0.566,-0.5388,1.18,-0.2921,1.5805,12.7
-0.2223,-0.4919,-0.3972,-0.0815,-0.2921,1.1658,0.1489,-0.566,-0.5388,1.18,0.0382,0.0905,14.5
-0.2155,-0.4919,-0.3972,-0.0815,-0.5078,0.5246,0.0551,-0.566,-0.5388,1.18,-2.8362,2.3769,13.2
-0.2635,-0.4919,-0.3972,-0.0815,-0.9482,0.9877,-0.0479,-0.566,-0.5388,1.18,-0.32,0.9181,13.1
-0.1699,-0.4919,-0.3972,-0.0815,-0.2496,1.0554,-0.0618,-0.566,-0.5388,1.18,-2.5229,1.2283,13.5
-0.4841,-0.4919,-0.719,-0.432,-0.5379,0.033,-0.2646,-0.4438,-0.713,0.328,0.4405,-0.4331,18.9
